Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
<50k,Autre,<1 an,Régional,Faible,<5,Prix,Création emplois,Écologique,Oui,1-3 ans,Difficile,66
>100k,Investisseur,>3 ans,Local,Forte,>5,Innovation,Création emplois,Polluant,Oui,<1 an,Facile,70
>100k,Autre,>3 ans,Local,Modérée,<5,Prix,Autre,Neutre,Non,1-3 ans,Facile,57
50k-100k,Fonds propres,1-3 ans,International,Modérée,<5,Prix,Aucun,Écologique,Oui,>3 ans,Difficile,83
<50k,Autre,<1 an,International,Forte,Aucun,Innovation,Création emplois,Polluant,Oui,>3 ans,Difficile,42
50k-100k,Investisseur,<1 an,Régional,Modérée,Aucun,Prix,Création emplois,Neutre,Non,<1 an,Facile,78
50k-100k,Prêt bancaire,1-3 ans,International,Faible,>5,Aucun,Autre,Écologique,Oui,<1 an,Facile,43
<50k,Fonds propres,>3 ans,International,Forte,>5,Qualité,Aucun,Écologique,Oui,>3 ans,Facile,49
>100k,Fonds propres,1-3 ans,International,Modérée,Aucun,Qualité,Création emplois,Neutre,Oui,<1 an,Difficile,44
<50k,Investisseur,<1 an,Régional,Modérée,Aucun,Prix,Création emplois,Neutre,Non,1-3 ans,Difficile,67
>100k,Investisseur,<1 an,Local,Modérée,Aucun,Innovation,Autre,Écologique,Oui,<1 an,Facile,70
<50k,Investisseur,<1 an,Régional,Forte,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,83
>100k,Prêt bancaire,<1 an,Local,Modérée,>5,Innovation,Création emplois,Écologique,Non,>3 ans,Facile,74
>100k,Investisseur,<1 an,Local,Forte,>5,Qualité,Aucun,Polluant,Oui,>3 ans,Facile,41
>100k,Fonds propres,<1 an,Régional,Faible,<5,Prix,Création emplois,Polluant,Oui,>3 ans,Facile,34
50k-100k,Investisseur,1-3 ans,National,Forte,Aucun,Qualité,Création emplois,Polluant,Oui,<1 an,Difficile,99
<50k,Fonds propres,1-3 ans,International,Faible,Aucun,Innovation,Autre,Écologique,Non,>3 ans,Difficile,66
50k-100k,Investisseur,1-3 ans,Local,Modérée,Aucun,Prix,Création emplois,Polluant,Oui,>3 ans,Difficile,70
50k-100k,Autre,<1 an,Local,Forte,>5,Innovation,Aucun,Neutre,Oui,>3 ans,Difficile,72
>100k,Investisseur,>3 ans,National,Forte,<5,Aucun,Autre,Polluant,Oui,1-3 ans,Difficile,72
>100k,Autre,>3 ans,National,Forte,Aucun,Prix,Aucun,Écologique,Oui,<1 an,Facile,89
>100k,Autre,1-3 ans,International,Forte,>5,Aucun,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,54
>100k,Fonds propres,1-3 ans,Régional,Modérée,<5,Qualité,Autre,Neutre,Oui,1-3 ans,Difficile,66
50k-100k,Prêt bancaire,1-3 ans,National,Faible,Aucun,Innovation,Aucun,Neutre,Oui,<1 an,Difficile,53
50k-100k,Prêt bancaire,1-3 ans,International,Forte,Aucun,Prix,Aucun,Écologique,Oui,>3 ans,Facile,31
<50k,Investisseur,>3 ans,Local,Modérée,>5,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,97
>100k,Investisseur,>3 ans,National,Modérée,Aucun,Innovation,Aucun,Polluant,Oui,<1 an,Facile,62
<50k,Autre,>3 ans,National,Forte,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,89
<50k,Fonds propres,<1 an,International,Forte,>5,Innovation,Autre,Écologique,Oui,1-3 ans,Difficile,33
<50k,Autre,>3 ans,National,Modérée,>5,Prix,Création emplois,Neutre,Non,>3 ans,Difficile,57
<50k,Prêt bancaire,<1 an,National,Faible,>5,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,90
<50k,Prêt bancaire,1-3 ans,National,Forte,Aucun,Qualité,Création emplois,Neutre,Oui,>3 ans,Facile,49
<50k,Investisseur,<1 an,Local,Faible,<5,Prix,Création emplois,Polluant,Oui,1-3 ans,Difficile,41
<50k,Investisseur,1-3 ans,International,Faible,Aucun,Innovation,Aucun,Écologique,Oui,>3 ans,Facile,53
>100k,Prêt bancaire,>3 ans,International,Modérée,<5,Prix,Création emplois,Écologique,Non,1-3 ans,Difficile,72
>100k,Investisseur,>3 ans,National,Modérée,Aucun,Innovation,Aucun,Écologique,Non,1-3 ans,Difficile,38
>100k,Autre,<1 an,Local,Modérée,Aucun,Prix,Autre,Neutre,Non,<1 an,Facile,57
<50k,Investisseur,<1 an,Local,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,78
>100k,Autre,>3 ans,International,Forte,<5,Aucun,Aucun,Écologique,Oui,1-3 ans,Difficile,74
<50k,Autre,<1 an,Local,Faible,Aucun,Aucun,Création emplois,Écologique,Oui,<1 an,Facile,38
<50k,Autre,<1 an,Régional,Faible,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,77
50k-100k,Investisseur,>3 ans,Local,Faible,<5,Qualité,Autre,Polluant,Non,<1 an,Difficile,98
50k-100k,Autre,1-3 ans,Local,Modérée,Aucun,Prix,Autre,Polluant,Oui,<1 an,Facile,59
<50k,Investisseur,<1 an,Régional,Forte,Aucun,Qualité,Aucun,Neutre,Non,<1 an,Difficile,42
<50k,Autre,<1 an,Local,Faible,>5,Prix,Création emplois,Écologique,Oui,<1 an,Difficile,83
<50k,Investisseur,>3 ans,National,Forte,<5,Innovation,Création emplois,Neutre,Oui,<1 an,Facile,33
<50k,Investisseur,1-3 ans,International,Forte,Aucun,Prix,Autre,Polluant,Non,1-3 ans,Facile,58
>100k,Fonds propres,<1 an,International,Faible,>5,Qualité,Création emplois,Polluant,Oui,1-3 ans,Facile,52
<50k,Autre,>3 ans,International,Modérée,Aucun,Innovation,Aucun,Polluant,Oui,>3 ans,Difficile,70
<50k,Prêt bancaire,<1 an,Régional,Modérée,>5,Qualité,Autre,Polluant,Oui,1-3 ans,Difficile,35
>100k,Prêt bancaire,<1 an,International,Modérée,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,1-3 ans,Difficile,71
>100k,Investisseur,<1 an,International,Modérée,Aucun,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,42
50k-100k,Fonds propres,<1 an,Local,Faible,>5,Aucun,Autre,Neutre,Oui,<1 an,Facile,42
50k-100k,Autre,<1 an,Local,Forte,Aucun,Prix,Autre,Neutre,Oui,1-3 ans,Difficile,31
<50k,Fonds propres,1-3 ans,Local,Modérée,<5,Aucun,Aucun,Écologique,Oui,<1 an,Facile,63
>100k,Fonds propres,<1 an,Local,Faible,<5,Prix,Autre,Neutre,Oui,>3 ans,Facile,88
<50k,Prêt bancaire,>3 ans,Régional,Forte,<5,Innovation,Création emplois,Polluant,Non,1-3 ans,Facile,66
<50k,Autre,>3 ans,International,Forte,<5,Qualité,Autre,Polluant,Oui,>3 ans,Difficile,60
50k-100k,Investisseur,<1 an,Local,Modérée,>5,Prix,Autre,Neutre,Non,1-3 ans,Facile,31
>100k,Investisseur,1-3 ans,Régional,Modérée,Aucun,Aucun,Autre,Neutre,Oui,1-3 ans,Facile,64
50k-100k,Investisseur,<1 an,National,Modérée,>5,Qualité,Aucun,Neutre,Oui,>3 ans,Facile,65
50k-100k,Prêt bancaire,1-3 ans,Local,Modérée,>5,Qualité,Autre,Polluant,Non,1-3 ans,Facile,37
<50k,Prêt bancaire,>3 ans,Local,Modérée,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,100
50k-100k,Autre,>3 ans,National,Faible,>5,Qualité,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,51
>100k,Autre,<1 an,National,Modérée,<5,Innovation,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,51
<50k,Investisseur,>3 ans,Local,Modérée,Aucun,Innovation,Création emplois,Neutre,Oui,<1 an,Facile,37
50k-100k,Fonds propres,<1 an,Local,Forte,<5,Innovation,Création emplois,Polluant,Non,1-3 ans,Difficile,75
<50k,Investisseur,>3 ans,International,Faible,Aucun,Innovation,Aucun,Écologique,Non,1-3 ans,Facile,30
50k-100k,Fonds propres,<1 an,National,Faible,<5,Prix,Autre,Polluant,Non,<1 an,Facile,37
<50k,Fonds propres,<1 an,National,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,71
50k-100k,Fonds propres,<1 an,International,Modérée,>5,Prix,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,35
>100k,Prêt bancaire,>3 ans,International,Faible,>5,Qualité,Autre,Neutre,Non,>3 ans,Difficile,98
>100k,Prêt bancaire,>3 ans,International,Forte,>5,Aucun,Autre,Neutre,Non,1-3 ans,Facile,44
50k-100k,Fonds propres,>3 ans,Régional,Forte,>5,Prix,Aucun,Neutre,Oui,>3 ans,Difficile,53
50k-100k,Autre,<1 an,International,Modérée,Aucun,Qualité,Aucun,Polluant,Oui,<1 an,Difficile,75
50k-100k,Fonds propres,>3 ans,National,Faible,>5,Aucun,Création emplois,Neutre,Non,>3 ans,Difficile,62
50k-100k,Fonds propres,>3 ans,International,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,58
>100k,Prêt bancaire,>3 ans,Régional,Modérée,>5,Prix,Aucun,Écologique,Non,<1 an,Difficile,43
<50k,Prêt bancaire,<1 an,Local,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,89
<50k,Autre,1-3 ans,National,Modérée,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,59
>100k,Investisseur,>3 ans,International,Forte,Aucun,Prix,Autre,Polluant,Non,1-3 ans,Facile,63
50k-100k,Autre,>3 ans,Régional,Faible,Aucun,Innovation,Création emplois,Écologique,Oui,>3 ans,Facile,30
>100k,Prêt bancaire,>3 ans,Local,Faible,<5,Prix,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Difficile,99
<50k,Prêt bancaire,<1 an,National,Faible,>5,Innovation,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,59
50k-100k,Autre,<1 an,National,Faible,<5,Innovation,Création emplois,Écologique,Oui,<1 an,Difficile,83
>100k,Fonds propres,>3 ans,National,Faible,>5,Qualité,Autre,Polluant,Oui,>3 ans,Facile,39
>100k,Autre,>3 ans,National,Forte,Aucun,Prix,Aucun,Polluant,Non,>3 ans,Difficile,55
50k-100k,Prêt bancaire,1-3 ans,International,Forte,Aucun,Prix,Aucun,Polluant,Oui,<1 an,Facile,93
50k-100k,Autre,>3 ans,Régional,Faible,>5,Innovation,Autre,Écologique,Non,>3 ans,Difficile,63
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,<5,Qualité,Création emplois,Polluant,Oui,<1 an,Difficile,83
<50k,Autre,1-3 ans,International,Modérée,<5,Aucun,Autre,Neutre,Oui,>3 ans,Facile,73
>100k,Prêt bancaire,1-3 ans,National,Faible,Aucun,Innovation,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,52
>100k,Investisseur,>3 ans,International,Modérée,<5,Qualité,Aucun,Neutre,Oui,>3 ans,Facile,67
<50k,Fonds propres,<1 an,Régional,Faible,>5,Qualité,Création emplois,Écologique,Oui,1-3 ans,Difficile,100
50k-100k,Autre,<1 an,Régional,Forte,<5,Aucun,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,54
>100k,Autre,<1 an,Local,Faible,>5,Qualité,Autre,Écologique,Oui,>3 ans,Difficile,81
<50k,Investisseur,>3 ans,International,Modérée,>5,Innovation,Aucun,Neutre,Oui,<1 an,Facile,37
<50k,Investisseur,1-3 ans,National,Faible,Aucun,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,41
>100k,Fonds propres,1-3 ans,Local,Modérée,Aucun,Aucun,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,65
>100k,Autre,<1 an,National,Forte,Aucun,Innovation,Création emplois,Écologique,Non,1-3 ans,Facile,58
<50k,Fonds propres,<1 an,International,Forte,Aucun,Prix,Autre,Neutre,Oui,1-3 ans,Difficile,53
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,Aucun,Prix,Création emplois,Neutre,Non,>3 ans,Difficile,94
<50k,Prêt bancaire,1-3 ans,Local,Modérée,<5,Innovation,Création emplois,Neutre,Oui,1-3 ans,Facile,34
<50k,Prêt bancaire,>3 ans,National,Faible,>5,Qualité,Aucun,Neutre,Non,1-3 ans,Facile,63
>100k,Investisseur,<1 an,National,Forte,<5,Aucun,Aucun,Neutre,Non,<1 an,Difficile,42
50k-100k,Fonds propres,<1 an,International,Faible,<5,Aucun,Aucun,Polluant,Non,>3 ans,Facile,39
50k-100k,Investisseur,>3 ans,Local,Faible,>5,Qualité,Création emplois,Neutre,Oui,<1 an,Facile,63
50k-100k,Fonds propres,<1 an,National,Modérée,>5,Prix,Aucun,Écologique,Non,<1 an,Difficile,78
<50k,Prêt bancaire,>3 ans,National,Forte,Aucun,Aucun,Autre,Écologique,Oui,>3 ans,Difficile,100
<50k,Prêt bancaire,1-3 ans,National,Modérée,>5,Prix,Création emplois,Écologique,Non,<1 an,Facile,46
50k-100k,Investisseur,1-3 ans,Régional,Modérée,<5,Prix,Création emplois,Écologique,Non,<1 an,Difficile,49
>100k,Autre,>3 ans,National,Modérée,Aucun,Innovation,Aucun,Polluant,Non,>3 ans,Facile,41
50k-100k,Fonds propres,1-3 ans,International,Faible,<5,Aucun,Création emplois,Écologique,Oui,>3 ans,Difficile,85
<50k,Autre,1-3 ans,International,Modérée,>5,Qualité,Autre,Polluant,Oui,>3 ans,Facile,42
>100k,Autre,<1 an,Local,Forte,>5,Aucun,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,72
>100k,Fonds propres,<1 an,National,Faible,>5,Qualité,Création emplois,Neutre,Oui,<1 an,Difficile,52
>100k,Fonds propres,1-3 ans,International,Forte,>5,Qualité,Création emplois,Polluant,Non,1-3 ans,Facile,77
50k-100k,Autre,<1 an,National,Faible,Aucun,Aucun,Autre,Polluant,Non,<1 an,Difficile,95
<50k,Prêt bancaire,>3 ans,Local,Faible,Aucun,Prix,Autre,Neutre,Oui,>3 ans,Facile,32
<50k,Fonds propres,<1 an,Régional,Forte,<5,Prix,Autre,Polluant,Oui,>3 ans,Facile,88
50k-100k,Fonds propres,1-3 ans,National,Faible,Aucun,Innovation,Aucun,Neutre,Non,<1 an,Difficile,58
50k-100k,Autre,1-3 ans,National,Faible,<5,Qualité,Création emplois,Neutre,Non,1-3 ans,Facile,88
>100k,Fonds propres,1-3 ans,National,Modérée,Aucun,Prix,Aucun,Neutre,Oui,<1 an,Difficile,62
50k-100k,Investisseur,<1 an,International,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,59
>100k,Investisseur,1-3 ans,Local,Forte,<5,Prix,Autre,Écologique,Non,>3 ans,Facile,65
>100k,Autre,<1 an,Régional,Forte,<5,Qualité,Création emplois,Écologique,Oui,<1 an,Difficile,62
50k-100k,Investisseur,>3 ans,Local,Modérée,>5,Qualité,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,68
50k-100k,Prêt bancaire,1-3 ans,National,Forte,>5,Qualité,Aucun,Polluant,Oui,1-3 ans,Facile,58
50k-100k,Investisseur,1-3 ans,International,Forte,>5,Prix,Création emplois,Polluant,Non,1-3 ans,Facile,44
50k-100k,Prêt bancaire,1-3 ans,National,Forte,>5,Prix,Aucun,Neutre,Oui,<1 an,Facile,84
50k-100k,Fonds propres,1-3 ans,Local,Forte,>5,Qualité,Création emplois,Polluant,Non,<1 an,Facile,31
50k-100k,Fonds propres,<1 an,Local,Faible,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,91
50k-100k,Investisseur,<1 an,Local,Faible,<5,Innovation,Aucun,Neutre,Non,>3 ans,Facile,97
>100k,Investisseur,>3 ans,National,Forte,Aucun,Aucun,Autre,Neutre,Non,<1 an,Difficile,80
50k-100k,Autre,>3 ans,Régional,Modérée,>5,Prix,Aucun,Écologique,Oui,1-3 ans,Facile,48
50k-100k,Autre,<1 an,Local,Modérée,Aucun,Innovation,Aucun,Neutre,Non,>3 ans,Difficile,49
>100k,Autre,>3 ans,International,Forte,<5,Aucun,Amélioration conditions de vie,Neutre,Non,<1 an,Facile,81
>100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,51
50k-100k,Investisseur,>3 ans,International,Forte,<5,Prix,Création emplois,Neutre,Oui,<1 an,Difficile,62
>100k,Prêt bancaire,<1 an,Local,Forte,Aucun,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,55
50k-100k,Fonds propres,>3 ans,National,Forte,Aucun,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,89
>100k,Prêt bancaire,1-3 ans,Régional,Faible,>5,Innovation,Autre,Polluant,Non,>3 ans,Facile,79
50k-100k,Autre,<1 an,Régional,Forte,>5,Aucun,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,90
>100k,Investisseur,>3 ans,National,Forte,<5,Qualité,Autre,Neutre,Oui,>3 ans,Difficile,65
>100k,Autre,<1 an,National,Faible,<5,Innovation,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,96
50k-100k,Prêt bancaire,<1 an,Régional,Faible,<5,Prix,Autre,Écologique,Non,1-3 ans,Facile,69
<50k,Investisseur,<1 an,International,Forte,<5,Qualité,Aucun,Polluant,Oui,<1 an,Difficile,51
<50k,Investisseur,1-3 ans,International,Forte,Aucun,Prix,Autre,Neutre,Non,>3 ans,Facile,73
>100k,Prêt bancaire,>3 ans,Local,Faible,<5,Qualité,Création emplois,Polluant,Non,<1 an,Difficile,64
50k-100k,Fonds propres,<1 an,Local,Modérée,<5,Innovation,Création emplois,Neutre,Non,>3 ans,Difficile,53
<50k,Autre,>3 ans,International,Modérée,<5,Aucun,Création emplois,Écologique,Non,1-3 ans,Facile,66
<50k,Prêt bancaire,<1 an,National,Faible,>5,Aucun,Autre,Neutre,Non,<1 an,Facile,84
